cluster	status	loglr	df	p	p.adjust	genes
chr12:clu_20961_NA	Success	0.62258805907954	1	0.264475816527248	0.98315381238489	NAP1L1
chr12:clu_20962_NA	Success	0.293563938580874	1	0.443531904846677	0.98315381238489	NAP1L1
chr12:clu_20963_NA	Success	1.2760912646313	3	0.465934299516399	0.98315381238489	NAP1L1
chr12:clu_20964_NA	Not enough valid samples	NA	NA	NA	NA	OSBPL8
chr12:clu_20965_NA	Not enough valid samples	NA	NA	NA	NA	OSBPL8
chr12:clu_20966_NA	Success	1.96328804341164	4	0.416033885666613	0.98315381238489	OSBPL8
chr12:clu_20967_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	OSBPL8
chr12:clu_20968_NA	Success	1.72738335131706	2	0.177748908437354	0.98315381238489	ZDHHC17
chr12:clu_20969_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ZDHHC17
chr12:clu_20970_NA	Not enough valid samples	NA	NA	NA	NA	ZDHHC17
chr12:clu_20971_NA	Success	0.241721097755445	1	0.486867266729047	0.98315381238489	ZDHHC17
chr12:clu_20972_NA	<=1 sample with coverage>0	NA	NA	NA	NA	CSRP2
chr12:clu_20973_NA	<=1 sample with coverage>0	NA	NA	NA	NA	CSRP2
chr12:clu_20974_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	E2F7
chr12:clu_20975_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	E2F7
chr12:clu_20976_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	E2F7
chr12:clu_20977_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NAV3
chr12:clu_20978_NA	<=1 sample with coverage>0	NA	NA	NA	NA	PAWR,RP1-78O14.1
chr12:clu_20979_NA	Success	0.0589057770479542	1	0.731420263674423	0.984653379360447	PAWR
chr12:clu_20980_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PAWR
chr12:clu_20981_NA	Success	0.701619352566837	1	0.236182057690109	0.98315381238489	PAWR
chr12:clu_20982_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr12:clu_20983_NA	Success	0.546866050891936	1	0.295645772688452	0.98315381238489	PAWR
chr12:clu_20984_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PAWR
chr12:clu_20985_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPP1R12A
chr12:clu_20986_NA	Success	0.807710724091862	3	0.655898187009809	0.98315381238489	PPP1R12A
chr12:clu_20987_NA	Success	0.536601350815602	2	0.584732178671713	0.98315381238489	PPP1R12A
chr12:clu_20988_NA	Success	1.04634563422803	2	0.351218889095143	0.98315381238489	PPFIA2
chr12:clu_20989_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPFIA2
chr12:clu_20990_NA	Success	4.35061778946971	4	0.069016769991418	0.968904086483716	PPFIA2
chr12:clu_20991_NA	Success	0.511724377872355	2	0.599460989791283	0.98315381238489	PPFIA2
chr12:clu_20992_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPFIA2
chr12:clu_20993_NA	Not enough valid samples	NA	NA	NA	NA	RP11-315E17.1
chr12:clu_20994_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PPFIA2
chr12:clu_20995_NA	Success	0.705993390454012	2	0.493617975233768	0.98315381238489	PPFIA2
chr12:clu_20996_NA	Not enough valid samples	NA	NA	NA	NA	RP11-315E17.1
chr12:clu_20997_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr12:clu_20998_NA	Success	1.97903573370729	5	0.555468329710976	0.98315381238489	PPFIA2
chr12:clu_20999_NA	Success	0.661347202342995	2	0.516155499983075	0.98315381238489	CCDC59
chr12:clu_21000_NA	Success	0.49452887695702	1	0.319972776750083	0.98315381238489	CCDC59
chr12:clu_21001_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	METTL25
chr12:clu_21002_NA	Not enough valid samples	NA	NA	NA	NA	TMTC2
chr12:clu_21003_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMTC2
chr12:clu_21004_NA	<=1 sample with coverage>0	NA	NA	NA	NA	SLC6A15
chr12:clu_21005_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-408B11.2
chr12:clu_21006_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr12:clu_21007_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr12:clu_21008_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr12:clu_21009_NA	Success	0.876617787773284	4	0.781026124044961	0.986897708989432	C12orf29
chr12:clu_21010_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CEP290
chr12:clu_21011_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CEP290
chr12:clu_21012_NA	Not enough valid samples	NA	NA	NA	NA	TMTC3
chr12:clu_21013_NA	Not enough valid samples	NA	NA	NA	NA	TMTC3
chr12:clu_21014_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KITLG
chr12:clu_21015_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KITLG
chr12:clu_21016_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KITLG
chr12:clu_21017_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DUSP6
chr12:clu_21018_NA	Success	0.224864130987015	3	0.929788632265803	0.991159333564393	POC1B
chr12:clu_21019_NA	Not enough valid samples	NA	NA	NA	NA	POC1B,GALNT4,POC1B-GALNT4
chr12:clu_21020_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-734K2.4
chr12:clu_21021_NA	Success	0.618137454068481	2	0.538947317483305	0.98315381238489	ATP2B1
chr12:clu_21022_NA	Success	0.0279154415347875	1	0.813211062943663	0.989141973701193	ATP2B1
chr12:clu_21023_NA	Success	0.0141551131739561	1	0.866381548686977	0.989141973701193	ATP2B1
chr12:clu_21024_NA	Success	0.846176011682587	1	0.193291210716824	0.98315381238489	ATP2B1
chr12:clu_21025_NA	Success	1.45910075755683	2	0.232445205370411	0.98315381238489	ATP2B1
chr12:clu_21026_NA	Success	5.13243137290848	5	0.0680690389126293	0.968904086483716	ATP2B1
chr12:clu_21027_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	BTG1
chr12:clu_21028_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-796E2.4
chr12:clu_21029_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EEA1
chr12:clu_21030_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EEA1
chr12:clu_21031_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EEA1
chr12:clu_21032_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EEA1
chr12:clu_21033_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NUDT4
chr12:clu_21034_NA	Success	0.256767006642804	3	0.915908144788919	0.991159333564393	NUDT4
chr12:clu_21035_NA	Success	0.929511944924414	1	0.172737499644617	0.98315381238489	NUDT4
chr12:clu_21036_NA	Success	0.609385597874478	1	0.269601940199936	0.98315381238489	UBE2N
chr12:clu_21037_NA	Success	2.96520475660546	2	0.0515499129792251	0.947557769203719	UBE2N
chr12:clu_21038_NA	Success	1.47192310436634	1	0.0862052400329208	0.98315381238489	MRPL42
chr12:clu_21039_NA	Success	0.258356716973822	1	0.472247014580126	0.98315381238489	MRPL42
chr12:clu_21040_NA	Success	0.0149665032954687	2	0.985144938159302	0.998089900382586	MRPL42
chr12:clu_21041_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MRPL42
chr12:clu_21042_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SOCS2-AS1
chr12:clu_21043_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SOCS2-AS1
chr12:clu_21044_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SOCS2
chr12:clu_21045_NA	Success	1.11929468563277	1	0.134603727042205	0.98315381238489	CRADD,RP11-887P2.6
chr12:clu_21046_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC41
chr12:clu_21047_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC41
chr12:clu_21048_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC41
chr12:clu_21049_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC41
chr12:clu_21050_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC41
chr12:clu_21051_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC41
chr12:clu_21052_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC41
chr12:clu_21053_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC41
chr12:clu_21054_NA	Success	0.804184479208288	5	0.900235440227304	0.990620301184578	NDUFA12
chr12:clu_21055_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NDUFA12
chr12:clu_21056_NA	Success	3.97712490055665	7	0.336645412841242	0.98315381238489	NR2C1
chr12:clu_21057_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NR2C1
chr12:clu_21058_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NR2C1
chr12:clu_21059_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NR2C1
chr12:clu_21060_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FGD6
chr12:clu_21061_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FGD6
chr12:clu_21062_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FGD6
chr12:clu_21063_NA	Success	2.63287758001809	5	0.384315314588598	0.98315381238489	VEZT
chr12:clu_21064_NA	Success	3.46833418262554	6	0.326743836187119	0.98315381238489	VEZT
chr12:clu_21065_NA	Success	1.54037399568119	3	0.379342206720393	0.98315381238489	VEZT
chr12:clu_21066_NA	Success	0.00276231233190316	1	0.94074954196056	0.993534536358127	VEZT
chr12:clu_21067_NA	Success	2.46334316676166	1	0.0264449807374941	0.933305443065259	VEZT
chr12:clu_21068_NA	Success	0.625560250978879	3	0.740771391591809	0.986897708989432	VEZT
chr12:clu_21069_NA	Success	0.387824880775611	1	0.378474908163869	0.98315381238489	METAP2
chr12:clu_21070_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NTN4
chr12:clu_21071_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NTN4
chr12:clu_21072_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NTN4
chr12:clu_21073_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NTN4
chr12:clu_21074_NA	Success	0.0734325505150082	2	0.929198817659609	0.991159333564393	LTA4H
chr12:clu_21075_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LTA4H
chr12:clu_21076_NA	Success	0.362096070885343	1	0.394772243941541	0.98315381238489	LTA4H
chr12:clu_21077_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ELK3
chr12:clu_21078_NA	Success	2.38390146357773	5	0.444869977469826	0.98315381238489	NEDD1
chr12:clu_21079_NA	Success	1.0519656211568	2	0.349250579646609	0.98315381238489	NEDD1
chr12:clu_21080_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NEDD1
chr12:clu_21081_NA	Success	0.163349783839891	1	0.567608995534318	0.98315381238489	TMPO
chr12:clu_21082_NA	Success	7.62548921115263	6	0.0183919625300034	0.927854875977823	TMPO
chr12:clu_21083_NA	Success	2.23278983797445	1	0.0345843529954452	0.933305443065259	SLC25A3
chr12:clu_21084_NA	Success	0.778896721549515	1	0.211988595298171	0.98315381238489	SLC25A3
chr12:clu_21085_NA	Success	0.0161719990943396	1	0.857274747582228	0.989141973701193	SLC25A3
chr12:clu_21086_NA	Not enough valid samples	NA	NA	NA	NA	IKBIP
chr12:clu_21087_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	APAF1
chr12:clu_21088_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	APAF1
chr12:clu_21089_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	APAF1
chr12:clu_21090_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ANKS1B
chr12:clu_21091_NA	Success	0.108910055409922	2	0.896811077175444	0.990620301184578	UHRF1BP1L
chr12:clu_21092_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UHRF1BP1L
chr12:clu_21093_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UHRF1BP1L
chr12:clu_21094_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UHRF1BP1L
chr12:clu_21095_NA	Success	0.611643613927242	3	0.747424661468486	0.986897708989432	UHRF1BP1L
chr12:clu_21096_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GOLGA2B
chr12:clu_21097_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GOLGA2B
chr12:clu_21098_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-175P13.3
chr12:clu_21099_NA	Success	0.752689118132331	1	0.219845683270305	0.98315381238489	ACTR6
chr12:clu_21100_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACTR6
chr12:clu_21101_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACTR6
chr12:clu_21102_NA	Success	0.0882282077926675	1	0.674436395197527	0.98315381238489	ACTR6
chr12:clu_21103_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACTR6
chr12:clu_21104_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DEPDC4
chr12:clu_21105_NA	Not enough valid samples	NA	NA	NA	NA	SCYL2
chr12:clu_21106_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SCYL2
chr12:clu_21107_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SCYL2
chr12:clu_21108_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GAS2L3
chr12:clu_21109_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UTP20
chr12:clu_21110_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UTP20
chr12:clu_21111_NA	Success	0.310786239883605	1	0.430463542261153	0.98315381238489	ARL1
chr12:clu_21112_NA	Success	0.618360969218429	3	0.744211011339232	0.986897708989432	ARL1
chr12:clu_21113_NA	Success	0.0620680372949209	2	0.939818941877273	0.993534536358127	CHPT1
chr12:clu_21114_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHPT1
chr12:clu_21115_NA	Success	1.31992494520492	2	0.267155352503634	0.98315381238489	CHPT1
chr12:clu_21116_NA	Success	0.102688012141613	1	0.650416025167879	0.98315381238489	GNPTAB
chr12:clu_21117_NA	Not enough valid samples	NA	NA	NA	NA	GNPTAB
chr12:clu_21118_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GNPTAB
chr12:clu_21119_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GNPTAB
chr12:clu_21120_NA	Success	0.256320477278621	3	0.916105600745727	0.991159333564393	GNPTAB
chr12:clu_21121_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DRAM1
chr12:clu_21122_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DRAM1
chr12:clu_21123_NA	Success	1.96228768358202	6	0.68688280903766	0.98315381238489	DRAM1
chr12:clu_21124_NA	Success	0.498123447010471	2	0.60766991523772	0.98315381238489	CCDC53
chr12:clu_21125_NA	Success	1.56236395436338	2	0.209639905805581	0.98315381238489	CCDC53
chr12:clu_21126_NA	Success	1.0101597563517	3	0.56820004319445	0.98315381238489	CCDC53
chr12:clu_21127_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NUP37
chr12:clu_21128_NA	Not enough valid samples	NA	NA	NA	NA	NUP37
chr12:clu_21129_NA	Success	3.45111924575357	2	0.0317101250859958	0.933305443065259	NUP37
chr12:clu_21130_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PARPBP
chr12:clu_21131_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PARPBP
chr12:clu_21132_NA	Not enough valid samples	NA	NA	NA	NA	PARPBP
chr12:clu_21133_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NT5DC3
chr12:clu_21134_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NT5DC3
chr12:clu_21135_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NT5DC3
chr12:clu_21136_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HSP90B1
chr12:clu_21137_NA	Success	0.182048342761703	2	0.833561042798837	0.989141973701193	HSP90B1
chr12:clu_21138_NA	Success	0.766100317989981	1	0.215782468765747	0.98315381238489	HSP90B1
chr12:clu_21139_NA	Success	1.45324102503253	5	0.714400906628837	0.984653379360447	C12orf73
chr12:clu_21140_NA	Not enough valid samples	NA	NA	NA	NA	C12orf73
chr12:clu_21141_NA	Success	0.873766987625572	2	0.417376332719213	0.98315381238489	TDG
chr12:clu_21142_NA	Success	0.0554611836573713	2	0.946048745109968	0.993534536358127	TDG
chr12:clu_21143_NA	Success	3.18145890121805	2	0.0415250299920537	0.933305443065259	HCFC2
chr12:clu_21144_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HCFC2
chr12:clu_21145_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NFYB
chr12:clu_21146_NA	Success	0.473842628302179	1	0.330309195990587	0.98315381238489	NFYB
chr12:clu_21147_NA	Success	1.78931673057535	2	0.167074287428257	0.98315381238489	NFYB
chr12:clu_21148_NA	Success	1.13777897084159	2	0.320530138602403	0.98315381238489	NFYB
chr12:clu_21149_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr12:clu_21150_NA	Success	5.92415363429973	10	0.295337049145264	0.98315381238489	TXNRD1
chr12:clu_21151_NA	Success	1.43827955043935	3	0.411051491117766	0.98315381238489	TXNRD1
chr12:clu_21152_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CHST11
chr12:clu_21153_NA	Not enough valid samples	NA	NA	NA	NA	SLC41A2
chr12:clu_21154_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SLC41A2
chr12:clu_21155_NA	Success	0.0922330112541658	1	0.667562974639679	0.98315381238489	C12orf45
chr12:clu_21156_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C12orf45
chr12:clu_21157_NA	Not enough valid samples	NA	NA	NA	NA	KIAA1033
chr12:clu_21158_NA	Not enough valid samples	NA	NA	NA	NA	KIAA1033
chr12:clu_21159_NA	Success	0.395385028324625	2	0.673420703281072	0.98315381238489	KIAA1033
chr12:clu_21160_NA	Success	0.33170797523735	2	0.71769687751569	0.984653379360447	KIAA1033
chr12:clu_21161_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIAA1033
chr12:clu_21162_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KIAA1033
chr12:clu_21163_NA	Success	0.900526798610485	2	0.406355535813828	0.98315381238489	APPL2
chr12:clu_21164_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	APPL2
chr12:clu_21165_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	APPL2
chr12:clu_21166_NA	Success	0.759434770524422	2	0.467930840579326	0.98315381238489	APPL2
chr12:clu_21167_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	APPL2
chr12:clu_21168_NA	Success	0.460517676403434	1	0.337203269209988	0.98315381238489	APPL2
chr12:clu_21169_NA	Success	0.342993965386	1	0.407532395917465	0.98315381238489	APPL2
chr12:clu_21170_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	APPL2
chr12:clu_21171_NA	Success	3.77280247071209	3	0.0563981721557612	0.962396177978357	APPL2
chr12:clu_21172_NA	Success	0.573498818487565	3	0.765742463263361	0.986897708989432	C12orf75
chr12:clu_21173_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C12orf75
chr12:clu_21174_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TCP11L2
chr12:clu_21175_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TCP11L2
chr12:clu_21176_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TCP11L2
chr12:clu_21177_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	POLR3B
chr12:clu_21178_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	POLR3B
chr12:clu_21179_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	POLR3B
chr12:clu_21180_NA	Success	0.0891788274257124	1	0.672788461505006	0.98315381238489	POLR3B
chr12:clu_21181_NA	Not enough valid samples	NA	NA	NA	NA	RIC8B
chr12:clu_21182_NA	Success	1.28321932476138	3	0.463403686484222	0.98315381238489	C12orf23
chr12:clu_21183_NA	Success	1.83051300994467	2	0.160331295124793	0.98315381238489	C12orf23
chr12:clu_21184_NA	Not enough valid samples	NA	NA	NA	NA	MTERFD3
chr12:clu_21185_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MTERFD3
chr12:clu_21186_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CRY1
chr12:clu_21187_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CRY1
chr12:clu_21188_NA	Success	0.105635105674423	2	0.899752902911812	0.990620301184578	PWP1
chr12:clu_21189_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRDM4
chr12:clu_21190_NA	Success	0.800748767572344	3	0.659050311336606	0.98315381238489	PRDM4
chr12:clu_21191_NA	Not enough valid samples	NA	NA	NA	NA	PRDM4
chr12:clu_21192_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRDM4
chr12:clu_21193_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRDM4
chr12:clu_21194_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRDM4
chr12:clu_21195_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PRDM4
chr12:clu_21196_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SART3
chr12:clu_21197_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SART3
chr12:clu_21198_NA	Success	1.11328711534686	1	0.135654328223668	0.98315381238489	SART3
chr12:clu_21199_NA	Success	0.00209775865005213	1	0.948354888086963	0.994014372578649	SART3
chr12:clu_21200_NA	Success	1.3824984536152	3	0.42929450997354	0.98315381238489	ISCU
chr12:clu_21201_NA	Success	0.766411600933452	3	0.674715733553622	0.98315381238489	ISCU
chr12:clu_21202_NA	Not enough valid samples	NA	NA	NA	NA	CORO1C
chr12:clu_21203_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CORO1C
chr12:clu_21204_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SSH1
chr12:clu_21205_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SSH1
chr12:clu_21206_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SSH1
chr12:clu_21207_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SSH1
chr12:clu_21208_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SSH1
chr12:clu_21209_NA	Success	0.936718122904892	2	0.391911933878301	0.98315381238489	USP30
chr12:clu_21210_NA	Not enough valid samples	NA	NA	NA	NA	USP30
chr12:clu_21211_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	USP30
chr12:clu_21212_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	USP30
chr12:clu_21213_NA	Success	0.12379337354912	2	0.883562389383077	0.990620301184578	ALKBH2
chr12:clu_21214_NA	Not enough valid samples	NA	NA	NA	NA	ALKBH2
chr12:clu_21215_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACACB
chr12:clu_21216_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACACB
chr12:clu_21217_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACACB
chr12:clu_21218_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACACB
chr12:clu_21219_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FOXN4
chr12:clu_21220_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KCTD10
chr12:clu_21221_NA	Not enough valid samples	NA	NA	NA	NA	KCTD10
chr12:clu_21222_NA	Success	1.7220858699568	3	0.328075369274741	0.98315381238489	UBE3B
chr12:clu_21223_NA	Not enough valid samples	NA	NA	NA	NA	UBE3B
chr12:clu_21224_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UBE3B
chr12:clu_21225_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBE3B
chr12:clu_21226_NA	Success	0.326227247070534	1	0.419236498436321	0.98315381238489	UBE3B
chr12:clu_21227_NA	Success	0.848337717416882	1	0.192723332275254	0.98315381238489	UBE3B
chr12:clu_21228_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UBE3B
chr12:clu_21229_NA	Success	0.196024407586492	2	0.821992171588318	0.989141973701193	MMAB
chr12:clu_21230_NA	Success	3.38053581131499	6	0.343509526340722	0.98315381238489	MMAB
chr12:clu_21231_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MMAB
chr12:clu_21232_NA	Success	6.52601948724305	7	0.0708505765775588	0.968904086483716	MMAB
chr12:clu_21233_NA	Success	0.681363873740811	1	0.243065298046279	0.98315381238489	MVK
chr12:clu_21234_NA	Success	3.60516252538355	7	0.407314516441825	0.98315381238489	MVK
chr12:clu_21235_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FAM222A-AS1
chr12:clu_21236_NA	<=1 sample with coverage>0	NA	NA	NA	NA	TRPV4
chr12:clu_21237_NA	Success	1.55247629532827	1	0.0780545037486871	0.98315381238489	GLTP
chr12:clu_21238_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GLTP
chr12:clu_21239_NA	Success	0.703922130526355	1	0.235414588031907	0.98315381238489	GLTP
chr12:clu_21240_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TCHP
chr12:clu_21241_NA	Success	0.00298513563978986	1	0.938410720517246	0.99322585262945	TCHP
chr12:clu_21242_NA	Not enough valid samples	NA	NA	NA	NA	GIT2
chr12:clu_21243_NA	Not enough valid samples	NA	NA	NA	NA	GIT2
chr12:clu_21244_NA	Not enough valid samples	NA	NA	NA	NA	GIT2
chr12:clu_21245_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	GIT2
chr12:clu_21246_NA	Not enough valid samples	NA	NA	NA	NA	ANKRD13A
chr12:clu_21247_NA	Success	0.264885630966745	2	0.767293699596486	0.986897708989432	ANKRD13A
chr12:clu_21248_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ANKRD13A
chr12:clu_21249_NA	Not enough valid samples	NA	NA	NA	NA	ANKRD13A
chr12:clu_21250_NA	Not enough valid samples	NA	NA	NA	NA	ANKRD13A
chr12:clu_21251_NA	Not enough valid samples	NA	NA	NA	NA	C12orf76
